name,radius,period,duration,source
TOI-1362.01,17.5081,1.9173816,1.466,TESS
TOI-1363.01,13.5133,9.6926509,2.819,TESS
TOI-1364.01,9.49405,1.7753644,2.034,TESS
TOI-1365.01,21.4433,1.8286961,3.37,TESS
TOI-1366.01,26.5090911,14.8626982,3.3250502,TESS
TOI-1367.01,5.41738,2.0881134,2.307,TESS
TOI-1368.01,2.95064,1.25562,2.304,TESS
TOI-1369.01,6.14418,7.6047417,5.23,TESS
TOI-137.01,1.71137,4.8173797,1.323,TESS
TOI-1370.01,11.2446,5.2651271,2.463,TESS
TOI-1371.01,36.2553,5.0095595,3.353,TESS
TOI-1372.01,8.22262,6.1600888,1.67,TESS
TOI-1373.01,15.4014,3.8529998,3.225,TESS
TOI-1374.01,10.3628,1.06884,2.512,TESS
TOI-1375.01,5.78741,5.4561177,3.1,TESS
TOI-1376.01,4.42263,1.7380504,1.496,TESS
TOI-1378.01,42.6903,5.7785318,2.348,TESS
TOI-1379.01,30.6957,1132.0244686,4.119,TESS
TOI-138.01,7.84585,6.1982658,1.912,TESS
TOI-1380.01,8.4993,1.41072,2.623,TESS
TOI-1381.01,28.2675,6.5601782,4.058,TESS
TOI-1382.01,10.8884,0.44482,1.058,TESS
TOI-1383.01,10.8699,1.532703,2.698,TESS
TOI-1384.01,4.89712,0.7131492,2.428,TESS
TOI-1386.01,4.31235,25.8386422,5.209,TESS
TOI-1387.01,3.89595,0.78381,1.443,TESS
TOI-1388.01,14.5331,4.4652986,2.502,TESS
TOI-139.01,2.3337648,11.0708575,2.1937617,TESS
TOI-1390.01,12.8098,2.6380089,3.55,TESS
TOI-1391.01,4.98036,2.7260173,2.703,TESS
TOI-1392.01,8.48351,2.86876,2.422,TESS
TOI-1393.01,4.22851,0.5590256,0.688,TESS
TOI-1394.01,4.47387,2.958148,3.769,TESS
TOI-1395.01,3.41784,0.98736,1.464,TESS
TOI-1396.01,6.35126,3.99307,4.783,TESS
TOI-1397.01,24.132,8.6795072,3.628,TESS
TOI-1398.01,13.1465,6.5560604,2.703,TESS
TOI-1399.01,5.91488,1.3812787,2.4,TESS
TOI-140.01,12.7387194,2.2813432,1.1601933,TESS
TOI-1400.01,11.8401,5.48923,3.29,TESS
TOI-1401.01,23.6091,7.3845072,4.531,TESS
TOI-1402.01,6.69456,0.43889,0.947,TESS
TOI-1403.01,18.3852989,2.3359622,6.0165684,TESS
TOI-1404.01,2.4024,6.8674054,3.488,TESS
TOI-1404.02,3.73311,14.431887,3.265,TESS
TOI-1406.01,9.43898,10.5739824,4.04,TESS
TOI-1407.01,2.0515332,9.9783319,4.2281711,TESS
TOI-1408.01,8.3621,4.4247042,1.318,TESS
TOI-1408.02,1.39527,2.2222094,2.461,TESS
TOI-1409.01,15.2763,4.7182888,4.046,TESS
TOI-141.01,1.7202,1.0082361,1.41,TESS
TOI-1410.01,3.43106,1.2168732,0.86,TESS
TOI-1411.01,1.404,1.4520486,1.339,TESS
TOI-1412.01,6.97384,4.731977,0.361,TESS
TOI-1413.01,6.1579891,6.1182129,0.6671441,TESS
TOI-1414.01,17.9176077,3.0197807,3.5896763,TESS
TOI-1415.01,4.7909139,14.4204896,5.1737619,TESS
TOI-1416.01,1.60037,1.0697621,1.356,TESS
TOI-1417.01,19.9197757,3.0726434,2.2602485,TESS
TOI-1418.01,1.700035,0.6763235,4.916459,TESS
TOI-1419.01,10.0433,2.8997405,1.849,TESS
TOI-142.01,12.600718,0.8533534,1.2018737,TESS
TOI-1420.01,12.090823,6.9561134,3.3628003,TESS
TOI-1422.01,3.84805,13.001789,4.4847322,TESS
TOI-1423.01,6.4145519,2.7556532,3.3967282,TESS
TOI-1424.01,3.5246468,4.8962484,2.362418,TESS
TOI-1425.01,28.2906,1.0318213,1.599,TESS
TOI-1426.01,1.99,0.78999,1.153,TESS
TOI-1427.01,11.4222,12.80758,3.596,TESS
TOI-1428.01,12.9372,11.35626,6.047,TESS
TOI-1429.01,4.841202,0.6412558,1.1161082,TESS
TOI-143.01,17.30428,2.3109689,3.4303821,TESS
TOI-1430.01,1.97737,7.4341456,2.424,TESS
TOI-1431.01,15.9327,2.650232,2.03,TESS
TOI-1432.01,2.19963,6.1095756,2.441,TESS
TOI-1433.01,24.6478297,12.4379715,1.7137815,TESS
TOI-1434.01,2.4078494,29.871853,4.6960535,TESS
TOI-1435.01,0.9996714,0.6858178,1.3936363,TESS
TOI-1436.01,1.4302423,0.8675883,1.3814953,TESS
TOI-1437.01,2.00342,18.840891,5.765,TESS
TOI-1438.01,2.259057,5.1396666,0.8991981,TESS
TOI-1438.02,2.49195,9.4280902,1.377,TESS
TOI-1439.01,3.68027,27.6438617,5.321,TESS
TOI-144.01,1.99779,6.267832,2.789,TESS
TOI-1440.01,2.43592,15.5174519,5.322,TESS
TOI-1440.02,1.43332,4.6274206,4.6582573,TESS
TOI-1441.01,2.33525,22.092974,5.813,TESS
TOI-1442.01,1.1833779,0.4090681,0.6165726,TESS
TOI-1443.01,2.11441,23.5407467,4.025,TESS
